interacao,tempo,threshold,nome_modo,valor_modo,Fab
1,9.736030,0.5,"sequencial",,
2,9.643935,0.5,"sequencial",,
3,9.603937,0.5,"sequencial",,
4,9.587112,0.5,"sequencial",,
5,9.576417,0.5,"sequencial",,
6,5.820079,0.5,"sequencial",,
7,5.733536,0.5,"sequencial",,
1,11.402553,0.5,"static",,0.01449275
2,9.502563,0.5,"static",,0.01449275
3,9.499928,0.5,"static",,0.01449275
4,11.049248,0.5,"static",,0.01449275
5,9.529516,0.5,"static",,0.01449275
6,9.514660,0.5,"static",,0.01449275
7,9.539857,0.5,"static",,0.01449275
1,9.588651,0.5,"static",1,0.01449275
2,9.406636,0.5,"static",1,0.01449275
3,10.894795,0.5,"static",1,0.01449275
4,9.402572,0.5,"static",1,0.01449275
5,9.542489,0.5,"static",1,0.01449275
6,9.461038,0.5,"static",1,0.01449275
7,10.023134,0.5,"static",1,0.01449275
1,5.575633,0.5,"static",2,0.02857143
2,5.594479,0.5,"static",2,0.02857143
3,5.543972,0.5,"static",2,0.02857143
4,5.559714,0.5,"static",2,0.02857143
5,6.524377,0.5,"static",2,0.02857143
6,5.578726,0.5,"static",2,0.02857143
7,5.564609,0.5,"static",2,0.02857143
1,9.357284,0.5,"static",4,0.04225352
2,9.478352,0.5,"static",4,0.04225352
3,9.431457,0.5,"static",4,0.04225352
4,9.374154,0.5,"static",4,0.04225352
5,9.431161,0.5,"static",4,0.04225352
6,5.567645,0.5,"static",4,0.04225352
7,5.603625,0.5,"static",4,0.04225352
1,5.616897,0.5,"static",8,0.11111111
2,5.608164,0.5,"static",8,0.11111111
3,5.613281,0.5,"static",8,0.11111111
4,6.166797,0.5,"static",8,0.11111111
5,5.585134,0.5,"static",8,0.11111111
6,5.579253,0.5,"static",8,0.11111111
7,5.709627,0.5,"static",8,0.11111111
1,5.621770,0.5,"static",16,0.20000000
2,5.625606,0.5,"static",16,0.20000000
3,6.502947,0.5,"static",16,0.20000000
4,5.645408,0.5,"static",16,0.20000000
5,5.624359,0.5,"static",16,0.20000000
6,5.645139,0.5,"static",16,0.20000000
7,6.461827,0.5,"static",16,0.20000000
1,9.415752,0.5,"dynamic",1,0.29113924
2,9.431909,0.5,"dynamic",1,0.49462366
3,9.429630,0.5,"dynamic",1,0.26973684
4,9.442116,0.5,"dynamic",1,0.41436464
5,9.369778,0.5,"dynamic",1,0.47093023
6,9.449298,0.5,"dynamic",1,0.41666667
7,9.420634,0.5,"dynamic",1,0.47191011
1,5.496648,0.5,"dynamic",2,0.44186047
2,5.505139,0.5,"dynamic",2,0.51685393
3,5.485201,0.5,"dynamic",2,0.37037037
4,5.510289,0.5,"dynamic",2,0.49504950
5,5.508034,0.5,"dynamic",2,0.51041667
6,5.511183,0.5,"dynamic",2,0.10606061
7,5.550842,0.5,"dynamic",2,0.43902439
1,9.373476,0.5,"dynamic",4,0.41860465
2,9.425068,0.5,"dynamic",4,0.45833333
3,9.420016,0.5,"dynamic",4,0.30769231
4,9.474835,0.5,"dynamic",4,0.51282051
5,9.431231,0.5,"dynamic",4,0.50000000
6,5.512187,0.5,"dynamic",4,0.44186047
7,6.625755,0.5,"dynamic",4,0.48780488
1,5.573108,0.5,"dynamic",8,0.50000000
2,5.605294,0.5,"dynamic",8,0.52173913
3,5.556590,0.5,"dynamic",8,0.43478261
4,5.586041,0.5,"dynamic",8,0.22222222
5,5.571325,0.5,"dynamic",8,0.52000000
6,5.557799,0.5,"dynamic",8,0.42857143
7,5.561795,0.5,"dynamic",8,0.45454545
1,5.567066,0.5,"dynamic",16,0.45454545
2,5.576582,0.5,"dynamic",16,0.40000000
3,5.590791,0.5,"dynamic",16,0.22222222
4,5.528856,0.5,"dynamic",16,0.30000000
5,5.581992,0.5,"dynamic",16,0.45454545
6,5.558937,0.5,"dynamic",16,0.40000000
7,5.544265,0.5,"dynamic",16,0.30000000
1,9.396616,0.5,"guided",1,0.06060606
2,9.536132,0.5,"guided",1,0.37278107
3,9.445127,0.5,"guided",1,0.4099378
4,11.499469,0.5,"guided",1,0.37125749
5,9.469010,0.5,"guided",1,0.49142857
6,5.587298,0.5,"guided",1,0.41807910
7,5.553770,0.5,"guided",1,0.14285714
1,9.389120,0.5,"guided",2,0.19014085
2,9.451968,0.5,"guided",2,0.41764706
3,9.461125,0.5,"guided",2,0.34756098
4,9.496612,0.5,"guided",2,0.49710983
5,9.531858,0.5,"guided",2,0.45348837
6,5.556785,0.5,"guided",2,0.50000000
7,6.469254,0.5,"guided",2,0.52222222
1,9.481663,0.5,"guided",4,0.46341463
2,9.484815,0.5,"guided",4,0.34177215
3,9.494643,0.5,"guided",4,0.26388889
4,9.530169,0.5,"guided",4,0.26388889
5,9.440854,0.5,"guided",4,0.38666667
6,5.547305,0.5,"guided",4,0.34246575
7,5.564983,0.5,"guided",4,0.42696629
1,11.572992,0.5,"guided",8,0.42424242
2,9.555800,0.5,"guided",8,0.49044586
3,9.537188,0.5,"guided",8,0.46448087
4,9.504136,0.5,"guided",8,0.21582734
5,9.516364,0.5,"guided",8,0.41358025
6,5.588932,0.5,"guided",8,0.38509317
7,5.659814,0.5,"guided",8,0.46994536
1,9.444173,0.5,"guided",16,0.36000000
2,9.515241,0.5,"guided",16,0.20422535
3,9.439447,0.5,"guided",16,0.38095238
4,9.461076,0.5,"guided",16,0.25000000
5,9.482745,0.5,"guided",16,0.40136054
6,6.765128,0.5,"guided",16,0.26973684
7,6.665881,0.5,"guided",16,0.34415584
