interacao,tempo_min,tempo_max,threshold,nome_modo,valor_modo,Fab,disparidade_min_max
1,9.736030,9.736030,0.5,"sequencial",,,
2,9.643935,9.643935,0.5,"sequencial",,,
3,9.603937,9.603937,0.5,"sequencial",,,
4,9.587112,9.587112,0.5,"sequencial",,,
5,9.576417,9.576417,0.5,"sequencial",,,
6,5.820079,5.820079,0.5,"sequencial",,,
7,5.733536,5.733536,0.5,"sequencial",,,
1,0.891998,0.892713,0.5,"MPI",2,1.000401,0.000801
2,0.883079,0.883325,0.5,"MPI",2,1.000139,0.000278
3,0.883060,0.883465,0.5,"MPI",2,1.000229,0.000458
4,0.887026,0.887439,0.5,"MPI",2,1.000233,0.000466
5,0.877384,0.877590,0.5,"MPI",2,1.000118,0.000236
6,0.890912,0.891102,0.5,"MPI",2,1.000107,0.000214
7,0.870395,0.870697,0.5,"MPI",2,1.000174,0.000347
1,0.557371,0.559152,0.5,"MPI",4,1.002308,0.003186
2,0.557356,0.559885,0.5,"MPI",4,1.003205,0.004516
3,0.558262,0.562634,0.5,"MPI",4,1.004683,0.007770
4,0.550755,0.552215,0.5,"MPI",4,1.001792,0.002643
5,0.558312,0.560350,0.5,"MPI",4,1.001590,0.003637
6,0.548561,0.549641,0.5,"MPI",4,1.001265,0.001966
7,0.542998,0.545196,0.5,"MPI",4,1.002740,0.004032
1,0.396705,0.404967,0.5,"MPI",8,1.011895,0.020403
2,0.403955,0.408958,0.5,"MPI",8,1.007551,0.012233
3,0.401455,0.402796,0.5,"MPI",8,1.001910,0.003331
4,0.403048,0.408533,0.5,"MPI",8,1.007728,0.013425
5,0.403822,0.406054,0.5,"MPI",8,1.003089,0.005498
6,0.404525,0.408664,0.5,"MPI",8,1.005832,0.010130
7,0.404549,0.408846,0.5,"MPI",8,1.006068,0.010511
1,0.353700,0.497154,0.5,"MPI",16,1.131472,0.288550
2,0.354957,0.498582,0.5,"MPI",16,1.131502,0.288066
3,0.361922,0.498701,0.5,"MPI",16,1.122828,0.274271
4,0.354048,0.500365,0.5,"MPI",16,1.133114,0.292421
5,0.353348,0.494509,0.5,"MPI",16,1.128868,0.285456
6,0.352501,0.493787,0.5,"MPI",16,1.129247,0.286127
7,0.352616,0.494861,0.5,"MPI",16,1.130411,0.287444
