x,y,z
-5,-5,"-458,9636289"
-5,"-3,8","-520,3613811"
-5,"-2,6","-593,0392312"
-5,"-1,4","-606,7766053"
-5,"-0,2","-657,401892"
-5,1,"-586,0927658"
-5,"2,2","-598,5418152"
-5,"3,4","-569,7169995"
-5,"4,6","-493,1188937"
"-3,8",-5,"-142,9329373"
"-3,8","-3,8","-178,1371524"
"-3,8","-2,6","-235,0132999"
"-3,8","-1,4","-209,0444258"
"-3,8","-0,2","-241,3506923"
"-3,8",1,"-308,2977301"
"-3,8","2,2","-226,4934614"
"-3,8","3,4","-222,9627575"
"-3,8","4,6","-142,5011036"
"-2,6",-5,"75,40808147"
"-2,6","-3,8","23,71468058"
"-2,6","-2,6","-42,78093899"
"-2,6","-1,4","-34,59399707"
"-2,6","-0,2","-87,25874304"
"-2,6",1,"-65,32975758"
"-2,6","2,2","-35,54531759"
"-2,6","3,4","-6,816228146"
"-2,6","4,6","66,69905571"
"-1,4",-5,"152,7442628"
"-1,4","-3,8","67,23707633"
"-1,4","-2,6","0,7325329723"
"-1,4","-1,4","45,21185897"
"-1,4","-0,2","-15,57060178"
"-1,4",1,"4,347194446"
"-1,4","2,2","36,5833391"
"-1,4","3,4","67,91193993"
"-1,4","4,6","105,1454757"
"-0,2",-5,"150,6057084"
"-0,2","-3,8","94,10220106"
"-0,2","-2,6","80,09916983"
"-0,2","-1,4","4,5036862"
"-0,2","-0,2","25,89336935"
"-0,2",1,"22,1324628"
"-0,2","2,2","34,32279916"
"-0,2","3,4","58,18054508"
"-0,2","4,6","131,2371809"
1,-5,"163,2661944"
1,"-3,8","72,25209851"
1,"-2,6","59,4036449"
1,"-1,4","10,31413447"
1,"-0,2","13,35518824"
1,1,"27,72426682"
1,"2,2","25,94691882"
1,"3,4","78,59487278"
1,"4,6","148,9612552"
"2,2",-5,"176,5228171"
"2,2","-3,8","170,5995182"
"2,2","-2,6","152,2892229"
"2,2","-1,4","94,18801019"
"2,2","-0,2","57,1645601"
"2,2",1,"77,8124536"
"2,2","2,2","71,56030443"
"2,2","3,4","170,1573092"
"2,2","4,6","209,0140881"
"3,4",-5,"372,2669156"
"3,4","-3,8","275,6425148"
"3,4","-2,6","253,4789827"
"3,4","-1,4","207,1141143"
"3,4","-0,2","200,5314116"
"3,4",1,"201,1198017"
"3,4","2,2","215,0453277"
"3,4","3,4","257,7050883"
"3,4","4,6","329,2820533"
"4,6",-5,"612,7027183"
"4,6","-3,8","595,4720115"
"4,6","-2,6","534,8840342"
"4,6","-1,4","522,4232067"
"4,6","-0,2","502,3129728"
"4,6",1,"512,5657411"
"4,6","2,2","496,0575795"
"4,6","3,4","545,6347123"
"4,6","4,6","614,7000998"
