Entrada 01,Entrada 02,Saída
"17,5","576,2",848
"35,9","598,6",905
"31,4","612,1",578
"23,7","624,2",382
"20,2","635,2",298
"18,5",649,262
"18,2",657,301
"17,7","653,9",0
"16,3","647,3",0
"14,8","646,5",186
"14,5","648,5",175
"14,8","650,5",207
"15,1","650,5",167
"15,1","650,3",196
"15,1","648,4",0
"14,8",650,191
"14,5","649,6",173
"14,4","650,7",169
"14,7","649,5",199
"14,8","650,9",207
"15,2","650,1",200
"15,3",655,194
"16,2","661,5",238
"20,6",659,367
"26,9","654,8",501
"31,8","652,7",581
"35,5","652,7",629
"37,9","653,1",653
"40,1","651,6",689
"42,1","653,4",698
"44,2","653,1",724
"46,2",652,735
48,"651,9",750
"49,5","652,2",766
"51,7","651,4",779
"53,1",651,781
"54,3","652,3",805
56,"652,4",817
"57,5","652,4",826
"59,3","653,5",832
"61,6","652,9",839
"63,6","653,2",856
"65,3",652,863
"67,3","652,4",871
"69,2","652,4",892
"70,5","652,6",890
"71,9","652,3",910
"73,6","652,8",926
"75,7","651,9",942
"77,5",652,965
"79,2","652,5",976
81,"652,3",1021
"82,5",655,1018
"84,8","651,3",1048
"86,4","652,2",1052
"87,9","651,8",1081
"89,8","651,9",1100
"91,5","651,4",1110
"92,7","653,4",1130
"94,7","653,1",1153
"96,9","652,2",1183
"99,9","651,2",1213
"101,5",652,1234
"103,1","652,7",1238
"105,2","651,6",1257
"106,5","652,8",1273
"108,9","651,4",1302
"110,8","652,3",1315
112,"653,2",1314
114,"651,9",1343
"115,9","652,7",1347
"117,8",651,1382
"119,7","653,6",1386
"121,7","652,8",1400
"123,5","652,4",1425
"125,9","651,8",1457
128,"652,2",1450
"129,9","651,8",1464
"131,4","654,2",1473
"133,6","651,4",1474
"135,6","651,8",1491
138,"653,1",1503
"140,1","652,4",1507
"141,3","653,4",1502
"143,9","650,8",1540
"145,7","652,3",1540
"147,7","652,7",1548
"150,4","651,5",1556
"152,4","652,7",1568
"154,4","652,9",1564
156,"652,8",1547
"158,3","652,4",1552
"160,9","652,8",1565
"163,6","651,9",1547
"165,3",652,1563
"167,5","653,1",1546
"168,7","653,5",1526
"171,5","653,4",1536
"174,8","651,7",1540
"177,5","652,2",1530
"179,1","652,1",1497
181,"652,3",1501
"183,9",652,1506
"185,6","653,5",1485
"187,5","652,9",1483
"189,6","651,7",1472
"191,4","651,2",1475
"193,3","651,1",1470
"193,8","650,2",1471
"193,9","650,4",1453
"194,3","651,9",1465
"193,4","659,9",1489
"192,7","668,6",1480
"192,3","679,9",1463
"192,3","689,4",1446
"194,4","696,6",1445
"194,7","704,7",1429
"194,9","713,3",1420
"195,2","723,1",1417
"195,4","731,7",1422
"196,1","739,1",1413
"197,2","747,2",1419
"196,8","758,5",1415
"196,6","766,8",1417
"196,2","774,8",1408
"196,5","782,8",1416
"197,4","790,9",1413
"197,1","800,5",1403
197,"809,2",1392
197,818,1388
"197,5","823,5",1390
"197,5","826,2",1395
"197,5","822,5",1391
"197,6","822,6",1393
"197,7",822,1387
"197,3","822,7",1391
"194,8","818,9",1377
"190,7","812,4",1402
"184,3","816,3",1400
"179,3","820,1",1383
"177,5","819,4",1391
"175,3","820,4",1388
"173,2","820,2",1377
"171,3","819,5",1370
"167,9","819,8",1367
"165,9","820,2",1360
"163,7","821,3",1358
"162,3","819,5",1344
"160,8",820,1350
"159,1","818,3",1346
"155,8",821,1319
"153,6","820,8",1309
"152,4",820,1304
"150,9","820,2",1287
"148,6","818,8",1269
"145,9","820,6",1257
"144,5","819,4",1264
"143,1",821,1262
"141,5",819,1242
"138,5","820,5",1218
"137,3","818,8",1218
"136,1","819,5",1202
"134,6","820,4",1195
"132,6","819,2",1190
"130,6","820,8",1164
"128,4","820,9",1153
"126,6","819,3",1149
"123,4","820,2",1124
"121,1","819,4",1108
"118,6",820,1087
"116,7","820,8",1089
"114,6","818,8",1075
"112,4","821,3",1061
"111,6","819,1",1060
"109,6","821,2",1032
"107,5","818,8",1019
"105,3","820,9",1003
"103,8","819,5",999
102,"820,5",985
"100,7","821,4",971
"99,7",819,965
"97,6","820,8",945
"95,6","818,1",936
"93,8","819,2",927
"92,1","819,6",906
"89,8","821,3",894
"87,8","820,6",877
"85,3","820,3",859
"83,5","820,4",832
"81,9","816,9",813
"79,3","821,5",794
"77,8",822,782
"76,6","820,9",762
"74,9","820,8",758
"74,1",821,750
"72,6","820,2",723
"70,3","819,6",692
"68,8",820,694
"67,7","820,1",681
"65,8","820,2",662
"64,1","819,2",642
"62,2","819,9",633
"60,5","819,4",619
"58,8","820,7",610
"57,2","820,6",602
"55,7","820,4",597
"54,3","820,2",594
53,"820,2",592
"51,3","820,3",577
"49,5","820,8",568
48,"819,2",560
"45,8","820,6",546
"44,2","818,8",544
"42,5","818,6",528
"40,2","821,3",513
"38,4","819,4",495
"36,3",819,485
"34,7","819,4",468
"33,1","821,3",452
"31,9","820,3",432
"30,3","822,1",423
"29,2","819,7",403
"27,3","821,7",370
26,820,356
"24,7","820,8",326
"23,5","820,6",305
"22,1","820,2",269
"20,4","821,6",234
"18,8","819,4",193
"17,2","819,8",0
"15,7","816,1",0
"12,2","819,4",0
"6,8","840,1",0
"3,9","851,6",0
"2,7","860,1",0
2,"869,4",0
"1,6","877,7",0
"1,3","884,9",0
"1,1","893,9",0
1,904,0
"0,9",910,0
"0,8","920,6",0
"0,8","928,7",0
"0,7",938,0
"0,7","944,7",0
"0,7","954,5",0
"0,6","963,6",0
"0,7","971,3",0
"0,8","983,1",0
"3,2",1000,0
8,"1009,4",0
13,"1003,4",146
"16,7","998,7",188
"18,9","999,7",215
"21,1","997,9",250
"23,2","996,8",277
"25,2","998,6",310
"27,4",999,349
"29,7","998,6",384
"32,2","999,6",421
"34,9","1001,7",449
"37,4",997,478
"39,5","997,7",499
"41,8",998,520
"44,3",1000,548
"46,9","997,8",570
"49,1",997,589
"51,2","997,2",604
"53,2","998,3",614
"55,7","998,1",636
"58,4",1000,649
"61,2","998,5",659
"64,3","999,6",674
"66,8",999,679
69,999,688
"71,8","997,4",695
"74,5","997,3",698
"76,5","998,5",703
"78,9","999,3",712
"81,7","997,8",727
"83,9",1000,734
"86,7",999,762
"89,7","998,7",778
"91,6",1000,784
"94,9","996,9",804
"97,6","999,2",821
"98,8","996,8",831
"100,4",999,845
"103,4",1000,867
"107,2","997,4",887
"109,2",1000,891
"111,5","997,6",904
"113,9","999,5",916
"118,2","998,6",941
"121,5","998,7",951
"124,1",997,965
"126,6","997,8",973
"128,8","999,1",974
"131,8","998,1",989
"134,5","998,2",991
"136,1","998,4",994
"138,2","998,8",1004
"141,9","997,6",1015
"144,1",998,1022
146,"998,8",1036
"148,5","1000,1",1047
"151,6","998,8",1053
"155,4","996,8",1068
"157,1","997,8",1074
"158,5","999,2",1085
"161,6","998,2",1084
"164,2","997,6",1090
"166,7",998,1108
"170,2","997,2",1120
"172,5",999,1131
"175,7","998,3",1145
"179,1","997,8",1157
"181,8","997,8",1158
"183,7","998,1",1154
"185,2","998,9",1162
"189,9","997,3",1182
"193,3","997,8",1172
"193,8","996,9",1181
"195,2",997,1187
"197,8","996,6",1199
"201,2","999,3",1204
"203,2","999,8",1197
"206,1","997,5",1218
"209,3",998,1223
"211,9","997,9",1232
"215,2",999,1246
"219,4","998,4",1253
"221,2","998,6",1237
"222,1",998,1249
"224,9","998,8",1260
"228,5","999,9",1273
233,"998,9",1287
"235,9","998,1",1273
"237,7","996,9",1276
"239,7","997,8",1284
"243,2","999,1",1296
"246,3","999,2",1295
"247,6",998,1288
"249,1","997,7",1301
"252,1","998,2",1300
"254,6","998,9",1302
"259,2","998,1",1304
"260,5","996,7",1311
"261,8","997,2",1319
"262,9","997,9",1322
"266,7","999,5",1323
"270,4",1006,1320
"274,1","1012,3",1309
"278,5","1016,3",1305
"281,3","1025,1",1276
"283,2","1029,2",1257
"284,6","1035,4",1244
"288,6",1040,1230
"291,2","1044,8",1218
"293,5","1051,1",1202
"296,5",1060,1183
"300,2","1063,5",1163
"301,6",1067,1151
"302,9","1076,2",1132
"304,6","1082,9",1121
"308,1","1085,7",1113
"308,8",1091,1099
310,"1096,1",1094
"312,1","1101,4",1093
314,"1110,2",1089
"312,9","1110,8",1072
"308,9","1106,7",1069
"304,7","1103,4",1090
302,"1106,3",1103
"298,9","1107,9",1107
"296,7","1105,7",1112
"292,6","1106,6",1106
"288,9",1107,1106
"285,4","1105,4",1111
"283,2","1104,6",1112
"279,7","1105,4",1113
"276,1","1106,2",1112
"273,8","1104,6",1125
"269,5","1107,8",1108
"267,4","1103,8",1118
"264,8",1107,1115
"262,6","1106,6",1114
"258,9","1106,4",1113
"255,5","1106,2",1112
"252,8","1105,6",1110
"249,4","1106,2",1118
"246,5","1105,9",1111
"243,1","1105,8",1108
"240,2","1106,8",1110
"236,5","1106,2",1101
"232,5","1105,4",1097
"229,8","1105,2",1097
"226,7","1106,8",1101
"223,8","1106,5",1098
"220,9","1106,8",1094
"217,8","1105,2",1102
"214,9","1105,8",1099
"211,9",1107,1084
"208,9","1105,2",1081
"205,5","1107,8",1073
"201,5",1106,1067
"198,9","1106,4",1076
197,"1107,5",1066
"193,9","1105,7",1062
"189,9","1106,8",1075
185,"1108,7",1150
180,"1107,3",1269
"175,5","1104,5",1384
"170,6","1105,5",1487
"167,3","1107,2",1556
"164,3","1105,8",1612
"161,9","1105,4",1659
"159,5","1107,2",1703
"156,9","1106,3",1755
"154,1","1106,7",1774
"151,4","1106,7",1765
"148,1","1105,2",1738
"144,9","1106,1",1713
143,"1106,4",1698
"141,2","1106,5",1683
"137,7","1106,2",1651
"134,5","1105,1",1612
"131,9","1106,1",1598
"129,9","1105,9",1575
"126,7","1106,6",1540
"124,2","1106,4",1514
"121,7","1106,1",1478
"118,4","1104,8",1448
116,"1105,9",1434
"113,7","1106,9",1401
"110,7","1105,4",1355
"107,1","1106,1",1311
"104,2",1107,1279
"101,5","1107,8",1243
"99,4","1105,2",1199
"96,8","1103,9",1180
"93,7","1106,6",1127
